,0,1,2,3,4
0,Kathy,kept,seven,pretty,chairs
1,Doris,got,nine,old,windows
2,Peter,ordered,fifteen,green,tables
3,Peter,ordered,nineteen,old,spoons
4,Rachel,got,two,small,chairs
5,Thomas,got,nine,large,rings
6,Peter,got,nineteen,large,flowers
7,Allen,bought,nine,pretty,sofas
8,Doris,has,sixty,old,chairs
9,Allen,got,nine,old,sofas
10,Doris,has,three,white,toys
11,William,gives,nine,green,houses
12,Lucy,prefers,sixty,heavy,sofas
13,Doris,bought,seven,cheap,chairs
14,Steven,sees,seven,pretty,spoons
15,Kathy,ordered,nine,old,sofas
16,Doris,wants,two,dark,tables
17,Thomas,ordered,nine,heavy,sofas
18,Peter,ordered,four,heavy,tables
19,Nina,wants,two,small,chairs
20,Peter,has,nineteen,large,desks
21,Thomas,ordered,fifteen,white,flowers
22,Allen,got,sixty,small,desks
23,Thomas,prefers,seven,small,desks
24,Doris,wants,three,large,flowers
25,Steven,bought,seven,large,flowers
26,William,bought,seven,green,sofas
27,Lucy,sold,nineteen,small,houses
28,Kathy,wants,sixty,old,toys
29,Thomas,got,nine,pretty,spoons
30,Allen,prefers,four,heavy,flowers
31,Thomas,has,two,heavy,flowers
32,Allen,bought,seven,green,desks
33,Steven,sold,eight,cheap,houses
34,Lucy,got,seven,white,spoons
35,Nina,prefers,seven,small,houses
36,Doris,has,four,heavy,sofas
37,Rachel,got,nineteen,large,windows
38,Lucy,gives,sixty,white,desks
39,Doris,prefers,three,white,tables
40,Peter,bought,seven,pretty,houses
41,Peter,ordered,four,large,rings
42,William,got,nine,heavy,spoons
43,Thomas,has,sixty,heavy,tables
44,Doris,prefers,eight,small,desks
45,Peter,kept,eight,green,flowers
46,Kathy,has,nine,dark,toys
47,William,sold,eight,cheap,houses
