,0,1,2,3,4
0,Kathy,sees,four,old,toys
1,Steven,wants,fifteen,heavy,tables
2,Doris,sees,two,heavy,sofas
3,William,got,twelve,heavy,tables
4,Allen,got,three,green,chairs
5,Steven,prefers,four,large,houses
6,Allen,kept,nine,red,tables
7,Kathy,ordered,sixty,old,sofas
8,Lucy,has,seven,green,toys
9,Steven,sold,nine,pretty,windows
10,Allen,got,sixty,old,desks
11,Doris,prefers,three,white,rings
12,Peter,has,twelve,old,flowers
13,Peter,wants,nine,green,spoons
14,Allen,ordered,twelve,heavy,rings
15,Nina,sold,nine,heavy,desks
16,Doris,ordered,three,red,chairs
17,Allen,prefers,fifteen,white,toys
18,William,sold,four,heavy,rings
19,Rachel,got,eight,small,spoons
20,Peter,wants,nine,green,flowers
21,Nina,got,sixty,large,sofas
22,Steven,gives,nine,red,desks
23,Peter,ordered,four,heavy,tables
24,Nina,got,twelve,white,toys
25,Steven,got,eight,dark,chairs
26,Lucy,wants,three,cheap,flowers
27,Allen,sees,three,small,rings
28,Thomas,ordered,three,dark,desks
29,Steven,got,three,small,tables
30,Lucy,bought,sixty,old,windows
31,Kathy,ordered,three,dark,chairs
32,Steven,bought,seven,large,flowers
33,William,sees,eight,large,flowers
34,Nina,prefers,four,heavy,toys
35,William,kept,two,small,chairs
36,Allen,ordered,twelve,large,desks
37,Steven,sold,nine,small,desks
38,Doris,got,fifteen,cheap,desks
39,Peter,ordered,four,white,desks
40,Peter,sees,three,large,rings
41,Allen,got,sixty,old,desks
42,Rachel,prefers,two,dark,rings
43,Rachel,sees,three,pretty,chairs
44,William,kept,three,small,spoons
45,William,bought,two,heavy,windows
46,Nina,wants,nine,old,toys
47,Lucy,has,four,red,desks
