,0,1,2,3,4
0,Thomas,ordered,four,dark,houses
1,William,wants,sixty,pretty,chairs
2,Rachel,sold,seven,old,tables
3,Peter,wants,seven,white,spoons
4,Nina,kept,twelve,pretty,tables
5,Steven,has,four,heavy,chairs
6,Steven,wants,three,cheap,desks
7,Allen,bought,seven,pretty,desks
8,Thomas,kept,three,small,spoons
9,Rachel,has,nineteen,red,desks
10,Peter,got,nineteen,cheap,houses
11,Peter,got,fifteen,white,spoons
12,Lucy,prefers,twelve,cheap,
13,Steven,bought,seven,green,flowers
14,Nina,ordered,nine,heavy,tables
15,Allen,sees,three,pretty,desks
16,Doris,sold,three,old,sofas
17,Allen,wants,three,cheap,flowers
18,Peter,has,seven,large,rings
19,Doris,ordered,nineteen,large,houses
20,Steven,wants,twelve,large,houses
21,William,kept,three,red,windows
22,Nina,got,two,heavy,tables
23,Peter,gives,fifteen,large,spoons
24,Nina,kept,four,pretty,houses
25,Allen,sold,sixty,green,chairs
26,Kathy,got,seven,large,chairs
27,William,gives,twelve,small,rings
28,Lucy,got,four,pretty,sofas
29,Nina,has,sixty,large,desks
30,Kathy,ordered,fifteen,cheap,toys
31,Peter,gives,three,cheap,houses
32,Peter,gives,nineteen,large,chairs
33,Rachel,kept,sixty,large,desks
34,Nina,prefers,nine,white,flowers
35,Doris,bought,eight,cheap,houses
36,Rachel,ordered,twelve,cheap,tables
37,Allen,sees,three,small,rings
38,Thomas,got,fifteen,red,houses
39,Rachel,prefers,two,old,toys
40,Nina,sees,nineteen,green,houses
41,Kathy,bought,nine,pretty,rings
42,Peter,got,nine,pretty,rings
43,Lucy,has,four,old,flowers
44,Kathy,ordered,eight,large,spoons
45,Rachel,sold,seven,white,chairs
46,Peter,bought,sixty,pretty,desks
47,Peter,got,two,dark,tables
