,0,1,2,3,4
0,Peter,prefers,nine,dark,rings
1,Nina,sold,nineteen,cheap,desks
2,Thomas,got,twelve,small,toys
3,Steven,sees,twelve,white,chairs
4,Allen,prefers,three,red,sofas
5,Kathy,got,twelve,large,spoons
6,Peter,got,three,white,windows
7,William,prefers,twelve,heavy,flowers
8,Rachel,sees,fifteen,red,desks
9,Nina,got,nineteen,large,rings
10,Rachel,sees,nine,pretty,desks
11,Peter,got,seven,pretty,chairs
12,Doris,ordered,twelve,cheap,chairs
13,Kathy,has,nine,dark,toys
14,Steven,has,nineteen,old,chairs
15,Allen,gives,fifteen,cheap,flowers
16,Rachel,got,fifteen,cheap,houses
17,Kathy,wants,two,pretty,sofas
18,Nina,prefers,seven,large,sofas
19,Kathy,got,twelve,dark,houses
20,Steven,bought,nine,heavy,toys
21,Lucy,wants,four,heavy,sofas
22,Kathy,prefers,four,large,houses
23,Thomas,sold,sixty,small,rings
24,Kathy,got,nine,heavy,chairs
25,Rachel,ordered,twelve,cheap,tables
26,Peter,bought,two,green,houses
27,Kathy,got,four,old,toys
28,Steven,prefers,two,old,rings
29,Doris,has,sixty,old,spoons
30,Thomas,bought,three,red,windows
31,Allen,bought,fifteen,heavy,toys
32,Peter,wants,nineteen,red,windows
33,Thomas,sees,nineteen,cheap,houses
34,Nina,wants,nine,cheap,flowers
35,Peter,kept,three,white,desks
36,Lucy,wants,fifteen,small,sofas
37,Thomas,sees,eight,green,rings
38,Kathy,gives,nineteen,red,spoons
39,Allen,got,two,large,toys
40,Lucy,wants,three,cheap,rings
41,William,prefers,sixty,small,sofas
42,Allen,bought,nineteen,heavy,desks
43,Peter,bought,nineteen,cheap,houses
44,Nina,has,seven,old,sofas
45,Steven,ordered,two,dark,spoons
46,Doris,got,four,large,desks
47,Kathy,gives,seven,old,desks
