,0,1,2,3,4
0,Peter,got,fifteen,cheap,rings
1,Kathy,bought,four,heavy,windows
2,Lucy,has,two,small,tables
3,William,wants,nine,dark,flowers
4,Doris,bought,fifteen,large,toys
5,Doris,got,three,old,rings
6,William,has,three,green,sofas
7,Peter,ordered,two,dark,tables
8,Thomas,sees,two,large,windows
9,Nina,kept,four,pretty,houses
10,Steven,bought,fifteen,large,toys
11,Peter,has,seven,white,flowers
12,Lucy,gives,fifteen,white,sofas
13,Rachel,bought,two,large,flowers
14,William,sold,nine,old,toys
15,Kathy,prefers,seven,green,rings
16,Lucy,sold,nine,old,chairs
17,Thomas,got,eight,red,windows
18,Thomas,bought,three,old,windows
19,Allen,prefers,two,old,desks
20,William,ordered,three,cheap,toys
21,Thomas,has,four,heavy,rings
22,Kathy,sold,twelve,green,chairs
23,William,sold,nine,old,desks
24,Peter,bought,nineteen,pretty,rings
25,Thomas,sold,two,old,chairs
26,Peter,bought,eight,green,rings
27,William,ordered,two,old,desks
28,Allen,prefers,four,heavy,flowers
29,Rachel,wants,seven,large,chairs
30,Thomas,kept,fifteen,dark,windows
31,William,ordered,three,old,desks
32,Rachel,bought,fifteen,green,houses
33,Allen,prefers,two,heavy,desks
34,William,prefers,three,green,flowers
35,Nina,kept,four,large,tables
36,Rachel,kept,sixty,large,tables
37,Lucy,sees,eight,pretty,sofas
38,Thomas,got,two,heavy,windows
39,Allen,bought,fifteen,cheap,flowers
40,Allen,got,four,small,tables
41,Kathy,has,three,cheap,houses
42,Doris,kept,two,green,chairs
43,Rachel,bought,eight,white,rings
44,Peter,got,twelve,large,desks
45,Nina,wants,three,heavy,flowers
46,Allen,sees,fifteen,red,tables
47,Peter,bought,sixty,pretty,sofas
