,0,1,2,3,4
0,William,got,nineteen,pretty,flowers
1,Nina,got,fifteen,old,flowers
2,Doris,got,three,old,toys
3,Allen,got,four,pretty,spoons
4,Nina,got,twelve,pretty,flowers
5,Peter,has,nineteen,white,windows
6,Peter,gives,sixty,pretty,rings
7,Peter,has,fifteen,white,flowers
8,Thomas,bought,twelve,white,flowers
9,Peter,has,four,cheap,tables
10,Kathy,got,three,old,flowers
11,Doris,kept,four,red,desks
12,Doris,has,seven,green,tables
13,William,got,twelve,pretty,houses
14,Kathy,bought,sixty,large,houses
15,Peter,ordered,two,dark,tables
16,Peter,gives,four,green,sofas
17,Allen,got,sixty,red,rings
18,Lucy,wants,sixty,small,sofas
19,Lucy,gives,three,large,spoons
20,Peter,got,twelve,old,rings
21,Peter,has,fifteen,green,rings
22,Peter,got,nineteen,large,desks
23,William,got,nineteen,pretty,rings
24,Peter,kept,eight,dark,toys
25,William,prefers,three,large,desks
26,Thomas,bought,three,white,
27,Allen,got,four,cheap,houses
28,Kathy,prefers,two,dark,flowers
29,Allen,prefers,four,heavy,flowers
30,Allen,kept,four,pretty,chairs
31,William,kept,sixty,heavy,rings
32,Doris,ordered,nineteen,large,toys
33,Rachel,wants,seven,heavy,desks
34,Peter,kept,three,large,chairs
35,Peter,has,twelve,large,flowers
36,Lucy,sold,three,large,sofas
37,Kathy,got,seven,red,houses
38,Rachel,sees,four,cheap,toys
39,Peter,got,seven,white,tables
40,Peter,sold,fifteen,pretty,houses
41,Steven,prefers,three,old,spoons
42,William,sees,eight,large,flowers
43,Thomas,has,twelve,red,sofas
44,William,sees,fifteen,green,toys
45,Lucy,gives,nineteen,pretty,desks
46,Peter,ordered,two,dark,tables
47,Kathy,ordered,four,cheap,spoons
