,0,1,2,3,4
0,Nina,prefers,twelve,large,houses
1,Allen,kept,nine,white,desks
2,Rachel,got,three,heavy,sofas
3,William,kept,nineteen,dark,toys
4,Steven,sees,seven,pretty,chairs
5,Lucy,got,nineteen,pretty,houses
6,Kathy,prefers,four,small,rings
7,Thomas,bought,nine,dark,toys
8,Rachel,sees,nine,green,windows
9,Steven,bought,twelve,cheap,desks
10,Steven,got,nine,large,windows
11,Peter,has,seven,white,flowers
12,Kathy,sold,twelve,green,sofas
13,Lucy,gives,nineteen,pretty,houses
14,Allen,prefers,fifteen,white,toys
15,William,gives,nineteen,small,sofas
16,Kathy,ordered,fifteen,cheap,toys
17,Steven,got,nine,old,flowers
18,Allen,got,four,green,desks
19,Kathy,prefers,eight,red,spoons
20,Thomas,got,eight,small,desks
21,Allen,has,nine,heavy,flowers
22,Rachel,sold,seven,old,tables
23,Doris,sees,fifteen,large,sofas
24,William,got,two,large,spoons
25,William,prefers,fifteen,white,toys
26,Kathy,wants,fifteen,green,windows
27,Steven,bought,four,small,tables
28,Steven,kept,nine,small,spoons
29,Lucy,ordered,seven,large,desks
30,Thomas,got,three,white,flowers
31,Nina,has,nineteen,white,spoons
32,William,wants,nine,dark,chairs
33,Nina,prefers,nineteen,small,houses
34,Peter,sees,eight,large,spoons
35,Doris,got,fifteen,red,flowers
36,Peter,kept,two,red,desks
37,Peter,sees,three,large,rings
38,Nina,has,fifteen,white,spoons
39,Allen,gives,seven,cheap,chairs
40,Lucy,sold,nineteen,small,houses
41,Kathy,got,nine,dark,chairs
42,Rachel,kept,nine,dark,desks
43,Peter,got,twelve,small,desks
44,Doris,has,sixty,dark,spoons
45,Kathy,got,seven,large,chairs
46,Peter,ordered,two,dark,tables
47,Nina,prefers,four,red,windows
