,0,1,2,3,4
0,Steven,got,three,small,tables
1,Nina,ordered,nine,heavy,tables
2,Peter,got,three,pretty,flowers
3,Allen,sees,four,pretty,houses
4,Rachel,bought,nineteen,heavy,sofas
5,Thomas,got,eight,red,windows
6,Lucy,has,twelve,red,desks
7,Steven,wants,sixty,heavy,tables
8,Steven,prefers,four,large,houses
9,Nina,sold,nineteen,old,spoons
10,Allen,bought,nineteen,pretty,sofas
11,Kathy,has,four,large,toys
12,Lucy,prefers,twelve,cheap,chairs
13,Nina,has,fifteen,white,spoons
14,Thomas,bought,eight,green,toys
15,Kathy,sees,seven,heavy,houses
16,Allen,kept,twelve,large,sofas
17,Peter,sold,eight,large,sofas
18,Thomas,sold,fifteen,dark,chairs
19,Nina,got,fifteen,dark,windows
20,Peter,ordered,two,dark,tables
21,Rachel,sold,twelve,green,desks
22,William,wants,sixty,pretty,chairs
23,Doris,gives,sixty,cheap,desks
24,Thomas,got,twelve,heavy,windows
25,Allen,sees,fifteen,old,windows
26,Rachel,got,twelve,large,desks
27,Peter,sold,nineteen,green,desks
28,Peter,got,nine,heavy,houses
29,William,kept,nine,large,rings
30,Lucy,got,twelve,large,spoons
31,Steven,sold,fifteen,pretty,houses
32,Rachel,ordered,twelve,cheap,tables
33,Nina,wants,nine,cheap,flowers
34,Lucy,wants,twelve,cheap,desks
35,Nina,sees,nineteen,cheap,desks
36,Peter,got,sixty,small,chairs
37,Steven,prefers,seven,pretty,sofas
38,Rachel,has,twelve,old,tables
39,Kathy,got,fifteen,green,tables
40,Doris,ordered,twelve,,rings
41,Thomas,prefers,nine,cheap,spoons
42,Nina,has,four,pretty,houses
43,Steven,has,four,pretty,chairs
44,Rachel,sold,seven,cheap,toys
45,Thomas,prefers,fifteen,small,houses
46,Peter,gives,fifteen,large,spoons
47,William,prefers,three,green,flowers
