,0,1,2,3,4
0,Steven,bought,seven,green,flowers
1,Lucy,sold,nine,large,spoons
2,Doris,has,four,dark,chairs
3,William,prefers,sixty,large,sofas
4,Lucy,has,fifteen,green,rings
5,Nina,kept,four,large,tables
6,Rachel,wants,nine,old,rings
7,Lucy,sees,fifteen,cheap,spoons
8,Kathy,sold,nineteen,small,houses
9,Doris,prefers,three,red,tables
10,William,got,nineteen,dark,chairs
11,Rachel,sees,nine,cheap,houses
12,Peter,wants,three,pretty,chairs
13,Rachel,wants,seven,large,chairs
14,Nina,ordered,sixty,heavy,spoons
15,Peter,gives,fifteen,small,spoons
16,Thomas,prefers,eight,cheap,toys
17,Lucy,sees,twelve,green,houses
18,Peter,gives,twelve,small,desks
19,Peter,got,three,green,desks
20,Steven,ordered,fifteen,white,spoons
21,Thomas,sees,eight,green,rings
22,Lucy,bought,three,cheap,houses
23,Nina,bought,nineteen,white,houses
24,Kathy,ordered,three,dark,chairs
25,Peter,gives,sixty,large,tables
26,Peter,got,nineteen,large,desks
27,Peter,got,fifteen,heavy,tables
28,Kathy,kept,three,green,toys
29,Steven,gives,four,dark,desks
30,Steven,sold,fifteen,cheap,rings
31,Allen,has,fifteen,small,houses
32,Steven,got,fifteen,old,chairs
33,Allen,prefers,two,red,tables
34,Kathy,ordered,three,dark,chairs
35,Doris,gives,four,old,toys
36,Rachel,kept,sixty,large,desks
37,Kathy,prefers,eight,cheap,tables
38,Thomas,kept,fifteen,old,windows
39,Kathy,gives,fifteen,green,flowers
40,Rachel,wants,twelve,white,flowers
41,Thomas,bought,three,heavy,windows
42,Kathy,gives,nine,old,chairs
43,William,sold,nine,old,desks
44,Nina,has,eight,green,spoons
45,Thomas,wants,fifteen,heavy,tables
46,Kathy,sold,four,large,toys
47,Allen,gives,seven,large,chairs
