,0,1,2,3,4
0,Rachel,wants,seven,red,windows
1,Kathy,sold,two,old,chairs
2,Steven,prefers,seven,old,sofas
3,Peter,bought,nineteen,cheap,houses
4,Lucy,got,two,red,spoons
5,Allen,prefers,two,old,desks
6,Thomas,got,seven,pretty,windows
7,Rachel,bought,fifteen,green,houses
8,Steven,gives,three,dark,chairs
9,Peter,sold,four,large,flowers
10,William,got,three,small,toys
11,Peter,sold,two,heavy,windows
12,Thomas,gives,three,red,spoons
13,Kathy,wants,sixty,old,toys
14,Rachel,wants,sixty,old,toys
15,Nina,got,seven,green,desks
16,Thomas,prefers,nine,cheap,spoons
17,Lucy,gives,fifteen,white,sofas
18,Peter,gives,twelve,small,desks
19,Lucy,sold,fifteen,cheap,spoons
20,William,ordered,four,heavy,windows
21,Rachel,got,nine,old,tables
22,Thomas,prefers,nineteen,white,toys
23,Steven,got,fifteen,old,chairs
24,Peter,kept,sixty,heavy,toys
25,Thomas,has,seven,white,houses
26,Allen,wants,nineteen,white,desks
27,Doris,ordered,three,red,chairs
28,Peter,has,seven,red,spoons
29,William,sold,three,old,windows
30,Thomas,wants,three,cheap,spoons
31,Lucy,wants,three,pretty,sofas
32,Kathy,bought,four,large,toys
33,Kathy,prefers,fifteen,cheap,desks
34,William,gives,nineteen,dark,rings
35,Peter,got,twelve,old,houses
36,Nina,has,nine,old,spoons
37,William,gives,nine,green,houses
38,Peter,prefers,sixty,large,spoons
39,Rachel,has,three,white,chairs
40,Thomas,got,three,dark,windows
41,Kathy,gives,nine,green,rings
42,Doris,ordered,seven,white,spoons
43,William,has,nine,small,flowers
44,Kathy,sees,four,old,toys
45,Thomas,prefers,four,large,desks
46,Lucy,kept,fifteen,large,spoons
47,Doris,got,three,old,toys
