,0,1,2,3,4
0,William,gives,nine,red,houses
1,Lucy,got,fifteen,small,flowers
2,Kathy,sees,four,old,toys
3,Allen,sold,sixty,pretty,chairs
4,Peter,bought,nineteen,pretty,rings
5,Rachel,prefers,twelve,red,desks
6,Thomas,kept,three,small,spoons
7,Doris,ordered,four,heavy,windows
8,Rachel,sees,three,large,spoons
9,Peter,wants,two,white,chairs
10,William,ordered,four,heavy,windows
11,Doris,has,sixty,large,spoons
12,Rachel,prefers,twelve,red,desks
13,Peter,kept,sixty,pretty,toys
14,Peter,bought,four,large,windows
15,Steven,sees,nine,green,sofas
16,Allen,ordered,twelve,heavy,rings
17,Kathy,has,eight,red,flowers
18,Lucy,has,nine,red,sofas
19,Thomas,prefers,nineteen,white,spoons
20,Peter,ordered,four,red,toys
21,Kathy,kept,two,dark,houses
22,Steven,got,fifteen,old,chairs
23,William,prefers,sixty,small,houses
24,Lucy,kept,three,heavy,desks
25,Nina,ordered,nine,white,houses
26,Steven,prefers,three,pretty,desks
27,Steven,sold,eight,cheap,houses
28,Lucy,wants,eight,cheap,tables
29,Lucy,prefers,twelve,large,sofas
30,Nina,has,fifteen,white,spoons
31,Allen,kept,sixty,pretty,toys
32,Thomas,sees,fifteen,cheap,windows
33,Peter,ordered,two,dark,tables
34,William,prefers,nineteen,red,desks
35,Rachel,sold,twelve,old,windows
36,Steven,has,four,heavy,chairs
37,Nina,kept,twelve,pretty,tables
38,Allen,prefers,four,heavy,flowers
39,Peter,gives,eight,large,desks
40,Doris,got,seven,old,windows
41,Rachel,sold,three,red,windows
42,Thomas,wants,seven,green,toys
43,Steven,ordered,two,dark,spoons
44,Kathy,has,eight,red,flowers
45,Doris,gives,two,large,sofas
46,Peter,got,fifteen,heavy,tables
47,Kathy,bought,eight,green,flowers
