,0,1,2,3,4
0,Peter,prefers,two,small,flowers
1,Thomas,sold,nine,large,desks
2,William,gives,twelve,red,rings
3,Rachel,kept,three,pretty,houses
4,Steven,ordered,fifteen,pretty,desks
5,Nina,sold,nine,heavy,desks
6,William,has,seven,white,tables
7,Kathy,ordered,four,cheap,spoons
8,Peter,prefers,three,white,houses
9,William,sold,nine,old,desks
10,Nina,wants,three,white,chairs
11,Peter,sees,three,large,rings
12,Rachel,got,two,red,toys
13,Doris,has,sixty,old,chairs
14,Doris,wants,three,large,flowers
15,Thomas,sees,three,cheap,rings
16,Peter,wants,nine,green,spoons
17,Steven,got,eight,dark,chairs
18,Peter,gives,fifteen,cheap,windows
19,Allen,wants,two,white,flowers
20,Kathy,bought,four,large,toys
21,William,sold,three,old,windows
22,Steven,ordered,twelve,dark,sofas
23,Allen,prefers,nine,dark,chairs
24,Doris,sold,three,small,rings
25,Nina,gives,four,large,windows
26,Peter,has,seven,pretty,desks
27,William,sold,nine,red,desks
28,Thomas,got,twelve,heavy,windows
29,Steven,gives,two,red,toys
30,Rachel,sold,twelve,large,spoons
31,Kathy,bought,eight,green,flowers
32,Lucy,wants,fifteen,small,sofas
33,Peter,ordered,fifteen,green,tables
34,Doris,bought,seven,small,windows
35,Allen,got,sixty,large,houses
36,Rachel,kept,seven,small,rings
37,William,has,four,red,desks
38,Thomas,ordered,eight,white,houses
39,Rachel,sold,seven,white,tables
40,Peter,wants,nine,green,spoons
41,Nina,prefers,four,heavy,toys
42,William,got,eight,old,desks
43,William,got,three,cheap,flowers
44,Lucy,gives,eight,small,houses
45,Allen,kept,nineteen,small,rings
46,Peter,ordered,two,green,houses
47,Rachel,bought,eight,white,rings
