,0,1,2,3,4
0,Lucy,has,nineteen,old,sofas
1,Doris,gives,four,heavy,rings
2,Allen,gives,four,heavy,rings
3,Nina,kept,nineteen,large,rings
4,Nina,kept,nineteen,large,sofas
5,Nina,kept,nineteen,old,sofas
6,Kathy,got,four,green,houses
7,Doris,gives,fifteen,green,houses
8,Kathy,got,nine,heavy,houses
9,Nina,kept,nineteen,old,spoons
10,Nina,ordered,sixty,red,tables
11,Kathy,got,four,heavy,rings
12,Lucy,has,nine,heavy,rings
13,Nina,kept,seven,old,spoons
14,Lucy,has,nine,heavy,houses
15,Doris,gives,fifteen,green,houses
16,Kathy,got,four,green,houses
17,Lucy,has,nine,large,rings
18,Lucy,has,nine,large,sofas
19,Lucy,has,nineteen,large,sofas
20,Nina,kept,nineteen,large,rings
21,Lucy,has,nine,heavy,rings
22,Nina,kept,nineteen,large,rings
23,Rachel,prefers,sixty,pretty,tables
24,Nina,kept,nineteen,large,rings
25,Nina,kept,nineteen,large,sofas
26,Nina,kept,nineteen,old,spoons
27,Peter,ordered,seven,pretty,spoons
28,Lucy,has,nineteen,large,sofas
29,Nina,kept,nineteen,large,sofas
30,Nina,kept,nineteen,old,spoons
31,Peter,ordered,seven,old,sofas
32,Peter,ordered,seven,pretty,spoons
33,Peter,ordered,seven,old,sofas
34,Kathy,got,nine,large,sofas
35,Kathy,got,nine,large,sofas
36,Nina,kept,nineteen,large,sofas
37,Lucy,has,nineteen,old,sofas
38,Nina,kept,nineteen,old,spoons
39,Peter,ordered,sixty,pretty,spoons
40,Peter,ordered,seven,old,sofas
41,Nina,kept,seven,old,sofas
42,Rachel,prefers,sixty,pretty,spoons
43,Peter,ordered,seven,old,sofas
44,Peter,ordered,seven,old,sofas
45,Nina,kept,nineteen,large,rings
46,Peter,ordered,seven,old,spoons
47,Peter,ordered,sixty,red,tables
