,0,1,2,3,4
0,Allen,got,seven,pretty,toys
1,Kathy,got,nine,old,desks
2,Rachel,kept,eight,large,chairs
3,Doris,bought,fifteen,cheap,tables
4,William,gives,nineteen,dark,rings
5,Kathy,prefers,four,large,houses
6,William,gives,nineteen,small,sofas
7,Steven,has,four,red,toys
8,Peter,bought,eight,pretty,flowers
9,Allen,got,nine,old,sofas
10,Steven,sold,twelve,large,toys
11,Peter,ordered,four,white,desks
12,Kathy,prefers,two,dark,flowers
13,William,gives,nineteen,small,sofas
14,Lucy,wants,nine,white,chairs
15,Kathy,kept,two,dark,houses
16,Peter,got,twelve,large,toys
17,Doris,prefers,three,white,rings
18,Allen,has,fifteen,old,sofas
19,Thomas,gives,nineteen,small,chairs
20,Lucy,prefers,nineteen,red,sofas
21,Peter,wants,three,pretty,chairs
22,Steven,got,nine,old,flowers
23,Kathy,ordered,four,cheap,spoons
24,William,kept,two,red,windows
25,Thomas,sees,three,cheap,rings
26,Lucy,wants,nine,white,chairs
27,Thomas,prefers,nineteen,white,toys
28,William,got,nineteen,green,spoons
29,Kathy,prefers,eight,heavy,houses
30,Thomas,sold,seven,old,desks
31,Nina,gives,two,pretty,rings
32,Doris,got,eight,cheap,rings
33,Nina,has,twelve,large,desks
34,Doris,ordered,fifteen,cheap,desks
35,Doris,has,four,old,sofas
36,Doris,sees,two,heavy,sofas
37,Peter,bought,nineteen,dark,rings
38,Allen,got,sixty,old,desks
39,Nina,prefers,three,red,spoons
40,Allen,got,nineteen,heavy,toys
41,Rachel,sees,four,old,houses
42,Peter,gives,seven,small,desks
43,Steven,sees,seven,pretty,chairs
44,Thomas,prefers,nine,dark,rings
45,Allen,kept,nineteen,heavy,toys
46,Rachel,sold,three,red,houses
47,Peter,got,sixty,small,chairs
