,0,1,2,3,4
0,Doris,sold,two,heavy,tables
1,Rachel,got,two,pretty,flowers
2,Allen,bought,two,cheap,spoons
3,Steven,wants,two,small,desks
4,Nina,sold,four,large,tables
5,Rachel,got,four,cheap,tables
6,Nina,prefers,nineteen,small,houses
7,Kathy,wants,fifteen,heavy,desks
8,Lucy,got,fifteen,heavy,sofas
9,Doris,got,nine,old,windows
10,Peter,wants,nine,green,spoons
11,Peter,prefers,nineteen,dark,tables
12,Peter,wants,two,small,desks
13,Lucy,sold,twelve,cheap,spoons
14,Kathy,bought,eight,green,flowers
15,Thomas,sold,eight,dark,desks
16,Lucy,wants,nine,white,chairs
17,Thomas,sold,two,pretty,houses
18,Peter,bought,nineteen,pretty,toys
19,Steven,ordered,seven,small,houses
20,Kathy,got,twelve,cheap,tables
21,William,bought,two,small,chairs
22,Rachel,sold,seven,white,tables
23,Lucy,bought,fifteen,heavy,sofas
24,Rachel,got,three,heavy,sofas
25,Peter,ordered,three,red,houses
26,Peter,sees,twelve,red,chairs
27,William,bought,nineteen,small,sofas
28,Rachel,got,nine,heavy,windows
29,Steven,wants,sixty,green,flowers
30,Thomas,has,sixty,large,houses
31,Doris,bought,three,red,rings
32,Rachel,ordered,two,dark,tables
33,Steven,bought,three,large,sofas
34,Thomas,got,two,pretty,flowers
35,Peter,sold,two,white,flowers
36,Steven,sold,two,dark,windows
37,Doris,got,two,large,toys
38,Lucy,has,two,white,desks
39,Rachel,prefers,two,heavy,flowers
40,Allen,sees,fifteen,green,windows
41,William,kept,three,small,sofas
42,Rachel,kept,three,pretty,houses
43,Allen,has,nine,green,sofas
44,Lucy,sold,fifteen,cheap,spoons
45,Lucy,has,four,old,flowers
46,Kathy,got,eight,large,spoons
47,Kathy,ordered,four,white,windows
